Sample_ID	Sample_Path	Channel	Audio_Length	Start	End	Transcription	Speaker_ID	Database
Y_M-Fokw3Wlco_163.0_167.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	163.0	167.0	motivo no piense que flojera	unknown	benedetti
Y_M-Fokw3Wlco_167.0_170.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	167.0	170.0	igual puede contar conmigo pero hagamos	unknown	benedetti
Y_M-Fokw3Wlco_170.0_173.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	170.0	173.0	un trato yo quisiera contar con usted es	unknown	benedetti
Y_M-Fokw3Wlco_173.0_176.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	173.0	176.0	tan lindo saber que usted existe uno se	unknown	benedetti
Y_M-Fokw3Wlco_176.0_179.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	176.0	179.0	siente vivo y cuando digo esto quiero	unknown	benedetti
Y_M-Fokw3Wlco_179.0_182.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	179.0	182.0	decir contar aunque sea hasta dos aunque	unknown	benedetti
Y_M-Fokw3Wlco_182.0_185.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	182.0	185.0	sea hasta cinco no ya para que acuda	unknown	benedetti
Y_M-Fokw3Wlco_185.0_188.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	185.0	188.0	presurosa en mi auxilio sino para saber	unknown	benedetti
Y_M-Fokw3Wlco_188.0_191.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	188.0	191.0	a ciencia cierta que usted sabe que	unknown	benedetti
Y_M-Fokw3Wlco_191.0_198.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	7.0	191.0	198.0	puede contar conmigo	unknown	benedetti
Y_M-Fokw3Wlco_198.0_201.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	198.0	201.0	hombre que mira una muchacha	unknown	benedetti
Y_M-Fokw3Wlco_201.0_205.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	201.0	205.0	para que nunca haya malentendidos para	unknown	benedetti
Y_M-Fokw3Wlco_205.0_208.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	205.0	208.0	que nada se interponga voy a explicarte	unknown	benedetti
Y_M-Fokw3Wlco_208.0_210.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	208.0	210.0	lo que mi amor con book	unknown	benedetti
Y_M-Fokw3Wlco_210.0_213.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	210.0	213.0	tus ojos que se caen de desconcierto y	unknown	benedetti
Y_M-Fokw3Wlco_213.0_217.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	213.0	217.0	otras veces se alzan penetrantes tibios	unknown	benedetti
Y_M-Fokw3Wlco_217.0_220.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	217.0	220.0	tienen tanta importancia que yo mismo me	unknown	benedetti
Y_M-Fokw3Wlco_220.0_221.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	1.0	220.0	221.0	asombra	unknown	benedetti
Y_M-Fokw3Wlco_221.0_225.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	221.0	225.0	tus lindas manos mágicas que te expresan	unknown	benedetti
Y_M-Fokw3Wlco_225.0_227.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	225.0	227.0	a veces mejor que las palabras tan	unknown	benedetti
Y_M-Fokw3Wlco_227.0_231.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	227.0	231.0	importantes son que no oso tocarlas y si	unknown	benedetti
Y_M-Fokw3Wlco_231.0_234.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	231.0	234.0	un día las toco es solamente para	unknown	benedetti
Y_M-Fokw3Wlco_234.0_237.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	234.0	237.0	retransmitir de ciertas claves	unknown	benedetti
Y_M-Fokw3Wlco_237.0_241.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	237.0	241.0	tu cuerpo pendular que duda en recibirse	unknown	benedetti
Y_M-Fokw3Wlco_241.0_244.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	241.0	244.0	o entregarse y es tan joven que enseña	unknown	benedetti
Y_M-Fokw3Wlco_244.0_248.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	244.0	248.0	de sant tuyo es un dato del cual me	unknown	benedetti
Y_M-Fokw3Wlco_248.0_250.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	248.0	250.0	faltan datos y sin embargo ayudo a	unknown	benedetti
Y_M-Fokw3Wlco_250.0_253.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	250.0	253.0	conocerlo	unknown	benedetti
Y_M-Fokw3Wlco_253.0_256.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	253.0	256.0	tus labios puestos en el entusiasmo que	unknown	benedetti
Y_M-Fokw3Wlco_256.0_260.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	256.0	260.0	dibujo a palabras y promete promesas son	unknown	benedetti
Y_M-Fokw3Wlco_260.0_263.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	260.0	263.0	en tu imagen para mí los héroes y son	unknown	benedetti
Y_M-Fokw3Wlco_263.0_266.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	263.0	266.0	también el ángel enemigo en mi amor	unknown	benedetti
Y_M-Fokw3Wlco_266.0_269.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	266.0	269.0	estás todas o casi todas me faltan	unknown	benedetti
Y_M-Fokw3Wlco_269.0_272.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	269.0	272.0	cifras pero las cálculos faltan indicios	unknown	benedetti
Y_M-Fokw3Wlco_272.0_275.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	272.0	275.0	pero los descubro sin embargo en mi amor	unknown	benedetti
Y_M-Fokw3Wlco_275.0_278.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	275.0	278.0	hay otras cosas por ejemplo los sueños	unknown	benedetti
Y_M-Fokw3Wlco_278.0_281.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	278.0	281.0	con que muevo la tierra la pobre lucha	unknown	benedetti
Y_M-Fokw3Wlco_281.0_284.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	281.0	284.0	que libre y libramos los buenos odios	unknown	benedetti
Y_M-Fokw3Wlco_284.0_287.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	284.0	287.0	esos que ennoblecen el diálogo constante	unknown	benedetti
Y_M-Fokw3Wlco_287.0_289.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	287.0	289.0	con mi gente	unknown	benedetti
Y_M-Fokw3Wlco_289.0_292.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	289.0	292.0	la pregunta punzante que me hicieron las	unknown	benedetti
Y_M-Fokw3Wlco_292.0_295.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	292.0	295.0	respuestas veraces que no di en mi amor	unknown	benedetti
Y_M-Fokw3Wlco_295.0_298.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	295.0	298.0	ahí también coraje varios y un miedo que	unknown	benedetti
Y_M-Fokw3Wlco_298.0_301.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	298.0	301.0	a menudo lo resume hay hombres como yo	unknown	benedetti
Y_M-Fokw3Wlco_301.0_304.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	301.0	304.0	que miran tras las rejas a una muchacha	unknown	benedetti
Y_M-Fokw3Wlco_304.0_307.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	304.0	307.0	que podría ser vos	unknown	benedetti
Y_M-Fokw3Wlco_307.0_309.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	307.0	309.0	en mi amor hay faena y hay descanso	unknown	benedetti
Y_M-Fokw3Wlco_309.0_312.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	309.0	312.0	sencillas recompensas y complejos	unknown	benedetti
Y_M-Fokw3Wlco_312.0_315.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	312.0	315.0	castigos hay dos o tres mujeres que	unknown	benedetti
Y_M-Fokw3Wlco_315.0_318.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	315.0	318.0	forman tu prehistoria y hay muchos años	unknown	benedetti
Y_M-Fokw3Wlco_318.0_322.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	318.0	322.0	demasiados años de inventar alegrías y	unknown	benedetti
Y_M-Fokw3Wlco_322.0_327.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	5.0	322.0	327.0	creer las después a pie juntillas	unknown	benedetti
Y_M-Fokw3Wlco_327.0_330.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	327.0	330.0	querría que en mi amor vieras todo eso y	unknown	benedetti
Y_M-Fokw3Wlco_330.0_333.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	330.0	333.0	que vos muchachita con paciencia y	unknown	benedetti
Y_M-Fokw3Wlco_333.0_337.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	333.0	337.0	cautela sin herir many herirte rescatar	unknown	benedetti
Y_M-Fokw3Wlco_337.0_340.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	337.0	340.0	a de allí la luna al río los emblemas	unknown	benedetti
Y_M-Fokw3Wlco_340.0_343.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	340.0	343.0	rituales los proyectos de besos o de	unknown	benedetti
Y_M-Fokw3Wlco_343.0_347.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	343.0	347.0	adiós es el corazón que aguarda pese a	unknown	benedetti
Y_M-Fokw3Wlco_347.0_357.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	10.0	347.0	357.0	todo	unknown	benedetti
Y_M-Fokw3Wlco_357.0_360.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	357.0	360.0	la culpa es de uno	unknown	benedetti
Y_M-Fokw3Wlco_360.0_363.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	360.0	363.0	quizá fue una hecatombe de esperanzas un	unknown	benedetti
Y_M-Fokw3Wlco_363.0_366.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	363.0	366.0	derrumbe de algún modo previsto pero mi	unknown	benedetti
Y_M-Fokw3Wlco_366.0_369.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	366.0	369.0	tristeza solo tuvo un sentido todas mis	unknown	benedetti
Y_M-Fokw3Wlco_369.0_371.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	369.0	371.0	intuiciones se asomaron para verme	unknown	benedetti
Y_M-Fokw3Wlco_371.0_374.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	371.0	374.0	sufrir que por cierto me vieron	unknown	benedetti
Y_M-Fokw3Wlco_374.0_377.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	374.0	377.0	hasta aquí había dicho y rehecho mis	unknown	benedetti
Y_M-Fokw3Wlco_377.0_380.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	377.0	380.0	trayectos contigo hasta aquí había	unknown	benedetti
Y_M-Fokw3Wlco_380.0_383.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	380.0	383.0	apostado inventar la verdad pero vos	unknown	benedetti
Y_M-Fokw3Wlco_383.0_386.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	383.0	386.0	encontraste la manera una manera tierna	unknown	benedetti
Y_M-Fokw3Wlco_386.0_388.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	386.0	388.0	y a la vez implacable de desahuciar mi	unknown	benedetti
Y_M-Fokw3Wlco_388.0_390.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	388.0	390.0	amor	unknown	benedetti
